,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.01990493166963755,0.09987939092416703,1,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1e-06, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
1,0.01990493166963755,0.09987939092416703,1,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.0001, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
2,0.020202020202020204,0.5302276496306346,1,3,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.1, 'degree': 3}",0.030303030303030304,0.5223880597014925,0.030303030303030304,0.4925373134328358,0.0,0.5757575757575758,0.008247440211391172,0.01987459233987212
3,0.01990493166963755,0.9601990049751244,1,3,1.0,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1, 'degree': 3}",0.0,0.9552238805970149,0.030303030303030304,0.9253731343283582,0.029411764705882353,1.0,0.00812886922805749,0.017706597432887744
4,0.01990493166963755,0.09987939092416703,10,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1e-06, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
5,0.01990493166963755,0.09987939092416703,10,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.0001, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
6,0.07991681521093286,0.9850746268656717,10,3,0.1,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.1, 'degree': 3}",0.030303030303030304,0.9850746268656716,0.12121212121212122,0.9701492537313433,0.08823529411764706,1.0,0.021694922708476314,0.007035888370015393
7,0.01990493166963755,0.9850746268656717,10,3,1.0,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1, 'degree': 3}",0.0,0.9850746268656716,0.030303030303030304,0.9701492537313433,0.029411764705882353,1.0,0.00812886922805749,0.007035888370015393
8,0.01990493166963755,0.09987939092416703,20,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1e-06, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
9,0.01990493166963755,0.09987939092416703,20,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.0001, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
10,0.07991681521093286,0.9850746268656717,20,3,0.1,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.1, 'degree': 3}",0.030303030303030304,0.9850746268656716,0.12121212121212122,0.9701492537313433,0.08823529411764706,1.0,0.021694922708476314,0.007035888370015393
11,0.01990493166963755,0.9850746268656717,20,3,1.0,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1, 'degree': 3}",0.0,0.9850746268656716,0.030303030303030304,0.9701492537313433,0.029411764705882353,1.0,0.00812886922805749,0.007035888370015393
12,0.01990493166963755,0.09987939092416703,30,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1e-06, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
13,0.01990493166963755,0.09987939092416703,30,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.0001, 'degree': 3}",0.0,0.11940298507462686,0.030303030303030304,0.1044776119402985,0.029411764705882353,0.07575757575757576,0.00812886922805749,0.01045719492872547
14,0.07991681521093286,0.9850746268656717,30,3,0.1,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.1, 'degree': 3}",0.030303030303030304,0.9850746268656716,0.12121212121212122,0.9701492537313433,0.08823529411764706,1.0,0.021694922708476314,0.007035888370015393
15,0.01990493166963755,0.9850746268656717,30,3,1.0,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1, 'degree': 3}",0.0,0.9850746268656716,0.030303030303030304,0.9701492537313433,0.029411764705882353,1.0,0.00812886922805749,0.007035888370015393
