,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.35079826771740485,0.846299386987289,1,3,auto,linear,"{'kernel': 'linear', 'C': 1, 'gammas': 'auto', 'degree': 3}",0.34213685474189676,0.8524295140971806,0.33833233353329334,0.8460846084608461,0.3719256148770246,0.8403840384038403,0.008671693335970213,0.002840499507374575
1,0.29519786318846675,0.9300997586261327,10,3,auto,linear,"{'kernel': 'linear', 'C': 10, 'gammas': 'auto', 'degree': 3}",0.2845138055222089,0.9325134973005399,0.28374325134973005,0.9294929492949295,0.3173365326934613,0.9282928292829283,0.009039898647682983,0.0010252016389253598
2,0.29319982342067,0.9329998386761291,20,3,auto,linear,"{'kernel': 'linear', 'C': 20, 'gammas': 'auto', 'degree': 3}",0.2923169267707083,0.9346130773845231,0.28014397120575885,0.9327932793279328,0.30713857228554287,0.9315931593159316,0.006372889659156971,0.0007167792715407155
3,0.292399863364662,0.9346998887051273,30,3,auto,linear,"{'kernel': 'linear', 'C': 30, 'gammas': 'auto', 'degree': 3}",0.2917166866746699,0.9358128374325135,0.28074385122975404,0.9348934893489349,0.3047390521895621,0.9333933393339334,0.005662595892103527,0.0005757321269904439
