,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.37566666666666665,0.8332499999999999,1,3,auto,linear,"{'kernel': 'linear', 'C': 1, 'gammas': 'auto', 'degree': 3}",0.3685,0.832,0.384,0.838,0.3745,0.82975,0.0036843010292420594,0.0020103896803024663
1,0.32166666666666666,0.9235833333333333,10,3,auto,linear,"{'kernel': 'linear', 'C': 10, 'gammas': 'auto', 'degree': 3}",0.3275,0.92225,0.332,0.92925,0.3055,0.91925,0.00668469783798679,0.0024190601174530293
2,0.31483333333333335,0.9275833333333333,20,3,auto,linear,"{'kernel': 'linear', 'C': 20, 'gammas': 'auto', 'degree': 3}",0.315,0.92575,0.329,0.93425,0.3005,0.92275,0.006717859006382145,0.0028120112744097424
3,0.3153333333333333,0.9295833333333334,30,3,auto,linear,"{'kernel': 'linear', 'C': 30, 'gammas': 'auto', 'degree': 3}",0.3165,0.928,0.3275,0.9355,0.302,0.92525,0.006029249692279456,0.002500925754521632
