,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.07416666666666667,0.07416666666666666,1,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1e-06, 'degree': 3}",0.0745,0.074,0.0695,0.0765,0.0785,0.072,0.002125680718856553,0.0010628403594282784
1,0.07416666666666667,0.07416666666666666,1,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.0001, 'degree': 3}",0.0745,0.074,0.0695,0.0765,0.0785,0.072,0.002125680718856553,0.0010628403594282784
2,0.3861666666666667,0.60125,1,3,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.1, 'degree': 3}",0.392,0.60675,0.379,0.5995,0.3875,0.5975,0.003112103016480207,0.0022943166496560284
3,0.13483333333333333,0.9271666666666668,1,3,1.0,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1, 'degree': 3}",0.139,0.92725,0.1185,0.93,0.147,0.92425,0.0069295395603545355,0.0013557149268791666
4,0.07416666666666667,0.07416666666666666,10,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1e-06, 'degree': 3}",0.0745,0.074,0.0695,0.0765,0.0785,0.072,0.002125680718856553,0.0010628403594282784
5,0.07433333333333335,0.0745,10,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.0001, 'degree': 3}",0.0745,0.0745,0.07,0.0765,0.0785,0.0725,0.0020046242836298557,0.0009428090415820643
6,0.36366666666666664,0.9180833333333333,10,3,0.1,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.1, 'degree': 3}",0.358,0.919,0.357,0.92025,0.376,0.915,0.005040576098761674,0.0012927862531355622
7,0.14833333333333334,0.9433333333333334,10,3,1.0,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1, 'degree': 3}",0.1455,0.94475,0.1335,0.946,0.166,0.93925,0.007747161965424405,0.001692849887243603
8,0.07416666666666667,0.07416666666666666,20,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1e-06, 'degree': 3}",0.0745,0.074,0.0695,0.0765,0.0785,0.072,0.002125680718856553,0.0010628403594282784
9,0.09849999999999999,0.10258333333333332,20,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.0001, 'degree': 3}",0.104,0.109,0.0915,0.09825,0.1,0.1005,0.0030092450142112977,0.002672736148316648
10,0.3498333333333334,0.9348333333333333,20,3,0.1,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.1, 'degree': 3}",0.342,0.93675,0.3435,0.93675,0.364,0.931,0.005794313943347733,0.0015649517801114537
11,0.14833333333333334,0.9433333333333334,20,3,1.0,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1, 'degree': 3}",0.1455,0.94475,0.1335,0.946,0.166,0.93925,0.007747161965424405,0.001692849887243603
12,0.07416666666666667,0.07416666666666666,30,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1e-06, 'degree': 3}",0.0745,0.074,0.0695,0.0765,0.0785,0.072,0.002125680718856553,0.0010628403594282784
13,0.13466666666666668,0.14183333333333334,30,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.0001, 'degree': 3}",0.1325,0.14625,0.121,0.13425,0.1505,0.145,0.007009253143497502,0.0031098707845015473
14,0.34149999999999997,0.9400833333333334,30,3,0.1,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.1, 'degree': 3}",0.3345,0.941,0.337,0.9435,0.353,0.93575,0.0047316898555261186,0.0018646318274264959
15,0.14833333333333334,0.9433333333333334,30,3,1.0,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1, 'degree': 3}",0.1455,0.94475,0.1335,0.946,0.166,0.93925,0.007747161965424405,0.001692849887243603
