,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.37689082494287957,0.8280277312459088,1,3,auto,linear,"{'kernel': 'linear', 'C': 1, 'gammas': 'auto', 'degree': 3}",0.3858643744030564,0.831224635951301,0.3729703915950334,0.8283599904511817,0.37183770883054895,0.8244985673352435,0.0036731513868103155,0.0015911419303684532
1,0.33248551188796416,0.9206586602211383,10,3,auto,linear,"{'kernel': 'linear', 'C': 10, 'gammas': 'auto', 'degree': 3}",0.3333333333333333,0.9221771305800908,0.33810888252148996,0.922415851038434,0.3260143198090692,0.9173829990448902,0.002871651197620962,0.0013384662840141958
2,0.3238911949814563,0.9267067391750609,20,3,auto,linear,"{'kernel': 'linear', 'C': 20, 'gammas': 'auto', 'degree': 3}",0.32760267430754536,0.9281451420386727,0.32855778414517667,0.928383862497016,0.31551312649164676,0.9235912129894938,0.0034277327270187483,0.0012731522056187445
3,0.3240496201215884,0.9274230145522196,30,3,auto,linear,"{'kernel': 'linear', 'C': 30, 'gammas': 'auto', 'degree': 3}",0.3247373447946514,0.9274289806636429,0.3271251193887297,0.9298161852470757,0.32028639618138427,0.9250238777459407,0.0016361715270122926,0.0011295603365147195
