,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.07389077857932395,0.07294816701151254,1,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1e-06, 'degree': 3}",0.07793345008756568,0.06827948432277574,0.07669491525423729,0.07305427343625656,0.06704397039616891,0.07751074327550533,0.0028104004798063585,0.002176259757428712
1,0.0721872958178096,0.07342564592286062,1,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.0001, 'degree': 3}",0.08037622915775973,0.06812032468565972,0.06556665219279201,0.07798822218685342,0.07061900610287707,0.07416839089606876,0.003548882200944029,0.0023455680593614876
2,0.4002067050571018,0.7395617804658072,1,3,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.1, 'degree': 3}",0.39528795811518325,0.7359541620245106,0.40656455142231945,0.7474136558968646,0.3987676056338028,0.7353175234760465,0.0027220761894897623,0.003209025050938518
3,0.13764412442177096,0.9438697013104145,1,3,1.0,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 1, 'degree': 3}",0.12231477422183253,0.9446124462836225,0.13596491228070176,0.9404742957186057,0.15465268676277852,0.9465223619290148,0.007652885613174559,0.0014574352505375508
4,0.0756874619535349,0.07050771924240012,10,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1e-06, 'degree': 3}",0.07618632999564649,0.07257679452490848,0.0778494623655914,0.06875696323412382,0.07302659349936683,0.07018939996816807,0.0011548610323112722,0.0009096730966885372
5,0.0814453992166364,0.08737864077669903,10,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.0001, 'degree': 3}",0.08169375534644996,0.08244469202610218,0.08441558441558442,0.09485914372115231,0.07822685788787484,0.0848320865828426,0.001462216322657419,0.003105312881672639
6,0.368060287232338,0.9325693670751765,10,3,0.1,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.1, 'degree': 3}",0.37245560848852316,0.936176985516473,0.37091858946451894,0.9310838771287602,0.36080666374397197,0.930447238580296,0.002983357435778598,0.0014804286371659897
7,0.13539156520270043,0.9490158629104992,10,3,1.0,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 1, 'degree': 3}",0.12112068965517242,0.9487505968486392,0.13908450704225353,0.9493872353971033,0.14596949891067537,0.9489097564857553,0.006047849846145204,0.00015618442828671135
8,0.07256881432466154,0.07438060374555679,20,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1e-06, 'degree': 3}",0.07016024252923343,0.07878402037243355,0.07391304347826087,0.07369091198472068,0.0736331569664903,0.07066687887951616,0.0009855058131816355,0.001933836287896518
9,0.1394723602570979,0.14669213220860522,20,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.0001, 'degree': 3}",0.1433389544688027,0.1505650167117619,0.14143167028199566,0.1389463632022919,0.1336464560204953,0.1505650167117619,0.0024205281045837487,0.0031621969551553935
10,0.3411820561830148,0.9426494774258581,20,3,0.1,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 0.1, 'degree': 3}",0.34046193327630453,0.941747572815534,0.3362255965292842,0.9449307655578545,0.3468586387434555,0.9412700939041859,0.0025234160899095122,0.0009381072177038291
11,0.14085120646810592,0.9459918298052946,20,3,1.0,rbf,"{'kernel': 'rbf', 'C': 20, 'gammas': 1, 'degree': 3}",0.14797031863814927,0.9463632022918987,0.13915298184961106,0.9439758077351583,0.13543031891655744,0.947636479388827,0.0030359283184162363,0.0008760476118273992
12,0.07395182951331948,0.07395617804658072,30,3,1e-06,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1e-06, 'degree': 3}",0.07785467128027682,0.0703485596052841,0.07077724706904039,0.07798822218685342,0.07322357019064125,0.07353175234760465,0.001694452031860954,0.001809003038540601
13,0.18862239395591743,0.20754416679929968,30,3,0.0001,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.0001, 'degree': 3}",0.1853595890410959,0.19958618494349833,0.18781942078364566,0.2180487028489575,0.19268817204301075,0.20499761260544325,0.0017581939370040426,0.004474119293821
14,0.3291695664725515,0.9493341821847313,30,3,0.1,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 0.1, 'degree': 3}",0.3205514864282637,0.9532070666878879,0.33581110625273286,0.9497055546713353,0.3311461067366579,0.9450899251949706,0.003686131150333291,0.0019192263862102142
15,0.1474381206604208,0.9479547986630591,30,3,1.0,rbf,"{'kernel': 'rbf', 'C': 30, 'gammas': 1, 'degree': 3}",0.15998275118585598,0.9501830335826834,0.14716157205240174,0.9446124462836225,0.13517003874300473,0.9490689161228713,0.005849502049887175,0.0013895486077466904
