,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score
0,0.951041242708,0.988888888889,1,3,0.1,linear,"{'kernel': 'linear', 'C': 1, 'gammas': 0.1, 'degree': 3}",0.980769230769,0.993333333333,0.925925925926,0.993333333333,0.946428571429,0.98
1,0.988271604938,0.984444444444,1,3,0.01,linear,"{'kernel': 'linear', 'C': 1, 'gammas': 0.01, 'degree': 3}",1.0,0.986666666667,0.983333333333,0.993333333333,0.981481481481,0.973333333333
2,0.945230078563,0.984444444444,10,3,0.1,linear,"{'kernel': 'linear', 'C': 10, 'gammas': 0.1, 'degree': 3}",0.962962962963,0.98,0.945454545455,0.986666666667,0.927272727273,0.986666666667
3,0.980987654321,0.973333333333,10,3,0.01,linear,"{'kernel': 'linear', 'C': 10, 'gammas': 0.01, 'degree': 3}",1.0,0.973333333333,0.962962962963,0.98,0.98,0.966666666667
4,0.957108108913,0.973333333333,1,3,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.1, 'degree': 3}",0.962264150943,0.94,0.948275862069,0.993333333333,0.960784313725,0.986666666667
5,0.940367965368,0.933333333333,1,3,0.01,rbf,"{'kernel': 'rbf', 'C': 1, 'gammas': 0.01, 'degree': 3}",0.981818181818,0.96,1.0,0.926666666667,0.839285714286,0.913333333333
6,0.957040746448,0.988888888889,10,3,0.1,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.1, 'degree': 3}",0.963636363636,0.986666666667,0.949152542373,0.986666666667,0.958333333333,0.993333333333
7,0.969460250907,0.973333333333,10,3,0.01,rbf,"{'kernel': 'rbf', 'C': 10, 'gammas': 0.01, 'degree': 3}",0.962962962963,0.96,0.964285714286,0.973333333333,0.981132075472,0.986666666667
