,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score
0,0.07189433770858757,0.07586609369197304,1,3,1e-06,rbf,"{'C': 1, 'kernel': 'rbf', 'degree': 3, 'gammas': 1e-06}",0.06946264744429882,0.07782906254973739,0.07348517404383326,0.07528250835588095,0.07273519163763066,0.07448671017030081
1,0.07476861416133634,0.07215236882593241,1,3,0.0001,rbf,"{'C': 1, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.0001}",0.07547169811320754,0.0703485596052841,0.07487091222030981,0.0674836861371956,0.07396323215049166,0.07862486073531752
2,0.3819236576561104,0.7397739933152953,1,3,0.1,rbf,"{'C': 1, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.1}",0.39147286821705424,0.7362724812987427,0.376348726801899,0.7392965144039472,0.37794937794937794,0.7437529842431959
3,0.1499129908343201,0.9415353599660459,1,3,1.0,rbf,"{'C': 1, 'kernel': 'rbf', 'degree': 3, 'gammas': 1}",0.15509160630592245,0.9434983288238102,0.1346815834767642,0.9425433710011141,0.15996578272027373,0.9385643800732134
4,0.07470774557517001,0.07061382566714415,10,3,1e-06,rbf,"{'C': 10, 'kernel': 'rbf', 'degree': 3, 'gammas': 1e-06}",0.07096212451023073,0.07066687887951616,0.0741687979539642,0.07178099633932834,0.07899231426131512,0.06939360178258794
5,0.083662542041254,0.08398323518489044,10,3,0.0001,rbf,"{'C': 10, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.0001}",0.08604038630377524,0.07591914690434506,0.09617807643847123,0.09183511061594779,0.06876916338151555,0.08419544803437848
6,0.3561990274457285,0.935964772666985,10,3,0.1,rbf,"{'C': 10, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.1}",0.36561007381676075,0.9372911029762853,0.3470181503889369,0.9379277415247493,0.3559688581314879,0.9326754734999204
7,0.15246162298296753,0.9489097564857553,10,3,1.0,rbf,"{'C': 10, 'kernel': 'rbf', 'degree': 3, 'gammas': 1}",0.15348439504061565,0.9471590004774789,0.1477469670710572,0.9489097564857553,0.1561535068372298,0.9506605124940315
8,0.07386604860066824,0.07310732664862857,20,3,1e-06,rbf,"{'C': 20, 'kernel': 'rbf', 'degree': 3, 'gammas': 1e-06}",0.07515473032714412,0.07130351742798026,0.07158165452207459,0.0767149450899252,0.07486176095278604,0.07130351742798026
9,0.15024054607823714,0.16191840415937186,20,3,0.0001,rbf,"{'C': 20, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.0001}",0.14719726144629866,0.15788636001909917,0.16429495472186287,0.16711761897182875,0.13922942206654992,0.16075123348718764
10,0.3398712625093399,0.9434452756114382,20,3,0.1,rbf,"{'C': 20, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.1}",0.3424006908462867,0.9398376571701417,0.33678756476683935,0.9455674041063187,0.3404255319148936,0.9449307655578545
11,0.1368974115143285,0.9499177675208234,20,3,1.0,rbf,"{'C': 20, 'kernel': 'rbf', 'degree': 3, 'gammas': 1}",0.1370896184560781,0.9492280757599872,0.1348218119364534,0.9482731179372911,0.13878080415045396,0.9522521088651917
12,0.07203620439709335,0.07300122022388456,30,3,1e-06,rbf,"{'C': 30, 'kernel': 'rbf', 'degree': 3, 'gammas': 1e-06}",0.06744995648389904,0.08053477638070985,0.07130584192439862,0.0738500716218367,0.07735281478298238,0.06461881266910711
13,0.19420805136458355,0.20759722001167172,30,3,0.0001,rbf,"{'C': 30, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.0001}",0.18490245971162,0.19799458857233806,0.1959863364645602,0.20945408244469202,0.2017353579175705,0.21534298901798504
14,0.3291295869865741,0.9458857233805507,30,3,0.1,rbf,"{'C': 30, 'kernel': 'rbf', 'degree': 3, 'gammas': 0.1}",0.328656462585034,0.9455674041063187,0.3251082251082251,0.9446124462836225,0.33362407326646315,0.947477319751711
15,0.14498520257537315,0.947477319751711,30,3,1.0,rbf,"{'C': 30, 'kernel': 'rbf', 'degree': 3, 'gammas': 1}",0.14415979157620495,0.9503421932197995,0.14378801042571676,0.9455674041063187,0.14700780572419775,0.9465223619290148
