,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score
0,0.07495119779671658,0.07167488991458433,1,2,auto,poly,"{'C': 1, 'kernel': 'poly', 'degree': 2, 'gammas': 'auto'}",0.0757314974182444,0.07130351742798026,0.07503234152652005,0.07066687887951616,0.07408975444538526,0.07305427343625656
1,0.07205823176154301,0.0733195394981166,1,3,auto,poly,"{'C': 1, 'kernel': 'poly', 'degree': 3, 'gammas': 'auto'}",0.0695464362850972,0.07432755053318478,0.07864202836269875,0.06891612287123985,0.06798623063683305,0.0767149450899252
2,0.07736386222932105,0.06727147328770756,1,5,auto,poly,"{'C': 1, 'kernel': 'poly', 'degree': 5, 'gammas': 'auto'}",0.08249232119350593,0.06541461085468725,0.07946157186278767,0.0668470475887315,0.07013769363166954,0.06955276141970396
3,0.07323566917888184,0.07369091198472068,10,2,auto,poly,"{'C': 10, 'kernel': 'poly', 'degree': 2, 'gammas': 'auto'}",0.07161016949152542,0.075600827630113,0.07127335940895263,0.0703485596052841,0.07682347863616745,0.07512334871876492
4,0.07469961152786635,0.07300122022388456,10,3,auto,poly,"{'C': 10, 'kernel': 'poly', 'degree': 3, 'gammas': 'auto'}",0.07340241796200346,0.07114435779086424,0.07702127659574468,0.07257679452490848,0.07367514002585093,0.07528250835588095
5,0.07119715085354388,0.07411533768369676,10,5,auto,poly,"{'C': 10, 'kernel': 'poly', 'degree': 5, 'gammas': 'auto'}",0.07603588210166595,0.07432755053318478,0.06678230702515178,0.07719242400127328,0.07077326343381389,0.07082603851663218
6,0.07012182538316225,0.07772295612499337,20,2,auto,poly,"{'C': 20, 'kernel': 'poly', 'degree': 2, 'gammas': 'auto'}",0.07020623080298377,0.07655578545280917,0.06932409012131716,0.08037561674359382,0.07083515522518584,0.07623746617857712
7,0.07723817007640837,0.06949970820733196,20,3,auto,poly,"{'C': 20, 'kernel': 'poly', 'degree': 3, 'gammas': 'auto'}",0.07407407407407407,0.07337259271048863,0.07652399481193256,0.0692344421454719,0.08111644134321849,0.06589208976603533
8,0.067322649511133,0.07687410472704122,20,5,auto,poly,"{'C': 20, 'kernel': 'poly', 'degree': 5, 'gammas': 'auto'}",0.06698564593301436,0.07575998726722903,0.06762028608582575,0.07830654146108547,0.06736201651455889,0.07655578545280917
9,0.0725105204041845,0.07920844607140963,30,2,auto,poly,"{'C': 30, 'kernel': 'poly', 'degree': 2, 'gammas': 'auto'}",0.06983849847228285,0.08212637275187012,0.07416990081931867,0.07623746617857712,0.07352316192095197,0.07926149928378164
10,0.07387148046771579,0.07204626240118839,30,3,auto,poly,"{'C': 30, 'kernel': 'poly', 'degree': 3, 'gammas': 'auto'}",0.07052677405311275,0.07416839089606876,0.07843996494303243,0.07003024033105204,0.07264770240700219,0.07194015597644438
11,0.07707414682425055,0.06997718711868003,30,5,auto,poly,"{'C': 30, 'kernel': 'poly', 'degree': 5, 'gammas': 'auto'}",0.07982832618025751,0.0657329301289193,0.07298001737619461,0.07369091198472068,0.07841409691629955,0.07050771924240012
