,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score,std_test_score,std_train_score
0,0.0732393790301407,0.0709321449413762,1,2,auto,poly,"{'kernel': 'poly', 'C': 1, 'gammas': 'auto', 'degree': 2}",0.0777922642329422,0.06796116504854369,0.07003044802087864,0.0749641890816489,0.0718954248366013,0.06987108069393602,0.0019099800687274358,0.0017065220905533203
1,0.07273881373480509,0.07416839089606876,1,3,auto,poly,"{'kernel': 'poly', 'C': 1, 'gammas': 'auto', 'degree': 3}",0.07682234831951112,0.06891612287123985,0.07084585659081151,0.07814738182396944,0.07054823629409265,0.07544166799299698,0.0016685712776452683,0.0022370596469105
2,0.07054878819477896,0.07438060374555679,1,5,auto,poly,"{'kernel': 'poly', 'C': 1, 'gammas': 'auto', 'degree': 5}",0.061384414453635176,0.0802164571064778,0.07892491467576791,0.06955276141970396,0.07133703545493379,0.07337259271048863,0.004146840492552153,0.0025469225922950924
3,0.06990557600020238,0.07512334871876492,10,2,auto,poly,"{'kernel': 'poly', 'C': 10, 'gammas': 'auto', 'degree': 2}",0.07067603160667252,0.0738500716218367,0.07399299474605954,0.07273595416202451,0.06504770164787511,0.07878402037243355,0.0021317581963285308,0.0015173589735344155
4,0.06937634497545751,0.07358480555997665,10,3,auto,poly,"{'kernel': 'poly', 'C': 10, 'gammas': 'auto', 'degree': 3}",0.06898011002962336,0.07448671017030081,0.07164567954841511,0.07162183670221232,0.06750324534833406,0.07464586980741685,0.0009896903976862243,0.0008022562627346279
5,0.07030215213871141,0.07453976338267282,10,5,auto,poly,"{'kernel': 'poly', 'C': 10, 'gammas': 'auto', 'degree': 5}",0.06789858186506231,0.07782906254973739,0.06686798964624677,0.07575998726722903,0.07613988490482515,0.07003024033105204,0.0023955919225290656,0.0019045044118262916
6,0.07676603062957252,0.0721523688259324,20,2,auto,poly,"{'kernel': 'poly', 'C': 20, 'gammas': 'auto', 'degree': 2}",0.07488232777064613,0.07416839089606876,0.08027621924902892,0.07003024033105204,0.07513954486904251,0.07225847525067643,0.0014343103853650975,0.0009763328729617692
7,0.07083094456401547,0.07300122022388456,20,3,auto,poly,"{'kernel': 'poly', 'C': 20, 'gammas': 'auto', 'degree': 3}",0.07127522541863461,0.075600827630113,0.06755593803786575,0.07209931561356041,0.07366167023554604,0.07130351742798026,0.001450519487462129,0.0010777334949824094
8,0.07552351147271047,0.07167488991458433,20,5,auto,poly,"{'kernel': 'poly', 'C': 20, 'gammas': 'auto', 'degree': 5}",0.07151979565772669,0.07575998726722903,0.07441253263707572,0.06987108069393602,0.08063820612332902,0.06939360178258794,0.002196565897269988,0.0016715270339246417
9,0.07530839407269158,0.07788211576210939,30,2,auto,poly,"{'kernel': 'poly', 'C': 30, 'gammas': 'auto', 'degree': 2}",0.07688966116420504,0.07751074327550533,0.07564102564102564,0.07544166799299698,0.07339449541284404,0.08069393601782587,0.0008349356232749662,0.0012472207319578702
10,0.06939074640751812,0.07554777441774099,30,3,auto,poly,"{'kernel': 'poly', 'C': 30, 'gammas': 'auto', 'degree': 3}",0.06457319770013269,0.0784657010982015,0.07232568211346903,0.07416839089606876,0.07127335940895263,0.07400923125895273,0.0019823346185542288,0.0011918291294317478
11,0.0741325677648971,0.0733195394981166,30,5,auto,poly,"{'kernel': 'poly', 'C': 30, 'gammas': 'auto', 'degree': 5}",0.07155247181266262,0.07400923125895273,0.07448630136986302,0.07607830654146108,0.07635893011216566,0.06987108069393602,0.0011420601213671367,0.0014899044879357365
