,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,split0test_score,split0train_score,split1test_score,split1train_score,split2test_score,split2train_score
0,0.07305374525389434,0.07305414135914402,1,3,1e-06,rbf,"{'gammas': 1e-06, 'kernel': 'rbf', 'degree': 3, 'C': 1}",0.07115568290353391,0.0740033420864168,0.07163323782234957,0.07376462162807353,0.07637231503579953,0.07139446036294174
1,0.07305374525389434,0.07305414135914402,1,3,0.0001,rbf,"{'gammas': 0.0001, 'kernel': 'rbf', 'degree': 3, 'C': 1}",0.07115568290353391,0.0740033420864168,0.07163323782234957,0.07376462162807353,0.07637231503579953,0.07139446036294174
2,0.38421090223307264,0.5975646751178725,1,3,0.1,rbf,"{'gammas': 0.1, 'kernel': 'rbf', 'degree': 3, 'C': 1}",0.37917860553963706,0.600143232275006,0.386341929321872,0.5972785867748867,0.38711217183770885,0.5952722063037249
3,0.1400611969342266,0.9276616970098533,1,3,1.0,rbf,"{'gammas': 1, 'kernel': 'rbf', 'degree': 3, 'C': 1}",0.14231136580706782,0.9298161852470757,0.14231136580706782,0.9286225829553593,0.13556085918854416,0.9245463228271251
4,0.07305374525389434,0.07305414135914402,10,3,1e-06,rbf,"{'gammas': 1e-06, 'kernel': 'rbf', 'degree': 3, 'C': 10}",0.07115568290353391,0.0740033420864168,0.07163323782234957,0.07376462162807353,0.07637231503579953,0.07139446036294174
5,0.07353122418942937,0.0738499902224174,10,3,0.0001,rbf,"{'gammas': 0.0001, 'kernel': 'rbf', 'degree': 3, 'C': 10}",0.07163323782234957,0.0740033420864168,0.07211079274116523,0.07471950346144665,0.07684964200477327,0.07282712511938873
6,0.3760948240949062,0.9166799099139974,10,3,0.1,rbf,"{'gammas': 0.1, 'kernel': 'rbf', 'degree': 3, 'C': 10}",0.3763132760267431,0.9212222487467175,0.37965616045845274,0.9123895917880163,0.3723150357995227,0.9164278892072588
7,0.15168071217609277,0.9427819513957244,10,3,1.0,rbf,"{'gammas': 1, 'kernel': 'rbf', 'degree': 3, 'C': 10}",0.16284622731614135,0.9470040582477919,0.1504297994269341,0.9405586058725233,0.14176610978520288,0.9407831900668577
8,0.07305374525389434,0.07305414135914402,20,3,1e-06,rbf,"{'gammas': 1e-06, 'kernel': 'rbf', 'degree': 3, 'C': 20}",0.07115568290353391,0.0740033420864168,0.07163323782234957,0.07376462162807353,0.07637231503579953,0.07139446036294174
9,0.10233899332790812,0.10584130569222511,20,3,0.0001,rbf,"{'gammas': 0.0001, 'kernel': 'rbf', 'degree': 3, 'C': 20}",0.10219675262655205,0.10479828121269993,0.09837631327602674,0.10503700167104321,0.10644391408114559,0.10768863419293219
10,0.36049652034566315,0.9342669233690608,20,3,0.1,rbf,"{'gammas': 0.1, 'kernel': 'rbf', 'degree': 3, 'C': 20}",0.35721107927411655,0.9388875626641203,0.36341929321872013,0.9314872284554786,0.3608591885441527,0.9324259789875836
11,0.15168071217609277,0.9427819513957244,20,3,1.0,rbf,"{'gammas': 1, 'kernel': 'rbf', 'degree': 3, 'C': 20}",0.16284622731614135,0.9470040582477919,0.1504297994269341,0.9405586058725233,0.14176610978520288,0.9407831900668577
12,0.07305374525389434,0.07305414135914402,30,3,1e-06,rbf,"{'gammas': 1e-06, 'kernel': 'rbf', 'degree': 3, 'C': 30}",0.07115568290353391,0.0740033420864168,0.07163323782234957,0.07376462162807353,0.07637231503579953,0.07139446036294174
13,0.14037865508073602,0.15112217235769096,30,3,0.0001,rbf,"{'gammas': 0.0001, 'kernel': 'rbf', 'degree': 3, 'C': 30}",0.13896848137535817,0.1515874910479828,0.1408787010506208,0.1494390069228933,0.1412887828162291,0.15234001910219674
14,0.3538115872983309,0.9400762058632207,30,3,0.1,rbf,"{'gammas': 0.1, 'kernel': 'rbf', 'degree': 3, 'C': 30}",0.34765998089780326,0.944616853664359,0.35816618911174786,0.9379326808307472,0.3556085918854415,0.9376790830945558
15,0.15168071217609277,0.9427819513957244,30,3,1.0,rbf,"{'gammas': 1, 'kernel': 'rbf', 'degree': 3, 'C': 30}",0.16284622731614135,0.9470040582477919,0.1504297994269341,0.9405586058725233,0.14176610978520288,0.9407831900668577
